Indicator_ID,Indicator_Group,Indicator_Name,Unit,Time_Period,Value,Comparison_Period,Comparison_Value,Change_Rate,Source
Butane_Import,Real Economy,Butane imports,Thousand ton,June 2025,155.0,June 2024,0.0,,
Solar_Consumption,Real Economy,Solar consumption,Thousand ton,June 2025,1103.2,June 2024,1095.2,0.7%,
Electricity_Generated,Real Economy,Electricity generated,Giga W.H,May 2025,20.7,May 2024,19.8,4.5%,
Electricity_Used,Real Economy,Electricity used,Giga W.H,May 2025,15.6,May 2024,14.9,4.7%,
Marine_Passengers,Real Economy,Marine transportation passengers,Thousand passenger,Q2 2025,225.3,Q2 2024,146.8,53.5%,
Marine_Cargo,Real Economy,Cargo transported by sea,Million ton,Q2 2025,53.4,Q2 2024,49.6,7.7%,
Air_Movements,Real Economy,Airplane movements,Thousand flight,June 2025,35.7,June 2024,33.0,8.2%,
Air_Passengers,Real Economy,Flights passengers,Million passenger,June 2025,4.7,June 2024,4.4,6.8%,
Air_Cargo,Real Economy,Cargo transported by planes,Thousand ton,June 2025,21.2,June 2024,23.3,-9.0%,
Phone_Cable,Real Economy,Cable telephone subscribers,Million subscriber,May 2025,13.5,May 2024,12.7,6.3%,
Phone_Mobile,Real Economy,Mobile telephone subscribers,Million subscriber,May 2025,116.8,May 2024,110.0,6.2%,
Internet_Mobile_DataOnly,Real Economy,Data-only mobile broadband subscriptions,Million user,May 2025,3.5,May 2024,3.0,16.7%,
Internet_Mobile_DataVoice,Real Economy,Data and voice mobile broadband subscriptions,Million user,May 2025,87.3,May 2024,79.9,9.3%,
Rail_Revenue,Real Economy,Railways revenue,Million EGP,July 2025,930.6,July 2024,624.5,49.0%,
Rail_Passengers,Real Economy,Railway passengers,Million passenger,July 2025,33.9,July 2024,33.2,2.1%,
Rail_Cargo,Real Economy,Cargo transported by railway,Thousand ton,July 2025,623.5,July 2024,659.6,-5.5%,
Inflation_Annual,Prices,Annual inflation rate (Republic),%,July 2025,13.1,July 2024,25.2,-48.0%,
Inflation_Monthly,Prices,Monthly inflation rate (Republic),%,July 2025,-0.6,July 2024,0.5,,
Inflation_Food_Annual,Prices,Annual inflation for Food & Beverages,%,July 2025,3.0,July 2024,28.6,-89.5%,
PPI_General,Prices,Producer Price Index - General,%,June 2025,20.6,June 2024,40.2,-48.8%,
PPI_Agriculture,Prices,Producer Price Index - Agriculture & Fishing,%,June 2025,38.0,June 2024,78.2,-51.4%,
PPI_Mining,Prices,Producer Price Index - Mining & Quarrying,%,June 2025,-11.2,June 2024,8.5,,
PPI_Manufacturing,Prices,Producer Price Index - Manufacturing,%,June 2025,18.4,June 2024,35.3,-47.9%,
Cement_Normal,Prices,Normal Portland cement price,EGP/50kg,July 2025,198.6,July 2024,116.4,70.6%,
Cement_White,Prices,White cement price,EGP/50kg,July 2025,229.9,July 2024,184.7,24.5%,
Cement_Iron,Prices,Iron cement price,EGP/50kg,July 2025,107.1,July 2024,85.0,26.0%,
Iron_Round,Prices,Round iron price (10,13,16mm),EGP/ton,July 2025,39352.7,July 2024,40700.3,-3.3%,
Fertilizer_Triple,Prices,Granular triple superphosphate fertilizer,EGP/ton,July 2025,26253.2,July 2024,24153.2,8.7%,
Fertilizer_Single,Prices,Single granular superphosphate fertilizer,EGP/ton,July 2025,5020.0,July 2024,4950.0,1.4%,
Food_Wheat,Prices,Normal Baladi Wheat,EGP/kg,July 2025,27.12,July 2024,26.55,2.1%,
Food_Meat,Prices,Buffalo & Cow Meat (fresh),EGP/kg,July 2025,414.41,July 2024,397.82,4.2%,
Food_Poultry,Prices,Poultry,EGP/kg,July 2025,124.79,July 2024,127.75,-2.3%,
Food_Oil,Prices,Mingled Cotton Seed Oil (liter),EGP/liter,July 2025,59.87,July 2024,57.17,4.7%,
Commodity_CrudeOil,Prices,Crude Oil,Thousand EGP/ton,July 2025,26.3,July 2024,30.7,-14.3%,
Commodity_Aluminum,Prices,Aluminum bars,Thousand EGP/ton,July 2025,158.0,July 2024,159.0,-0.6%,
Commodity_CopperNets,Prices,Red Copper Nets,Thousand EGP/ton,July 2025,462.8,July 2024,494.3,-6.4%,
Commodity_CopperRibbons,Prices,Red copper ribbons and shapes,Thousand EGP/ton,July 2025,471.4,July 2024,439.8,7.2%,
Commodity_CopperMolds,Prices,Yellow Copper Molds,Thousand EGP/ton,July 2025,340.2,July 2024,325.7,4.5%,
BOP_Total,Balance of Payments,Total balance,Million USD,Q2 2024/2025,488.6,Q2 2023/2024,-638.4,,
CurrentAccount_Trade,Balance of Payments,Trade balance,Billion USD,Q2 2024/2025,-13.4,Q2 2023/2024,-10.7,-25.2%,
CurrentAccount_Services,Balance of Payments,Services balance,Billion USD,Q2 2024/2025,4.9,Q2 2023/2024,4.0,22.5%,
CurrentAccount_Income,Balance of Payments,Investment Income balance,Billion USD,Q2 2024/2025,-6.8,Q2 2023/2024,-5.0,-36.0%,
CurrentAccount_Transfers,Balance of Payments,Current Transfers,Billion USD,Q2 2024/2025,8.8,Q2 2023/2024,3.2,175.0%,
Trade_Exports,Balance of Payments,Exports,Billion USD,Q2 2024/2025,9.6,Q2 2023/2024,8.1,18.5%,
Trade_Imports,Balance of Payments,Imports,Billion USD,Q2 2024/2025,-23.0,Q2 2023/2024,-18.8,-22.3%,
TradeBalance_GDP,Balance of Payments,Trade balance to GDP ratio,%,Q2 2024/2025,3.7,Q2 2023/2024,2.7,37.0%,
CommodityServices_Balance,Balance of Payments,Commodity & Services balance,Billion USD,Q2 2024/2025,-10.2,Q2 2023/2024,-6.7,-52.2%,
CurrentDeficit_GDP,Balance of Payments,Current balance deficiency to GDP,%,Q2 2024/2025,1.4,Q2 2023/2024,1.7,-17.6%,
Transfers_Private,Balance of Payments,Private transfers for Egyptians abroad,Million USD,Q2 2024/2025,8718.8,Q2 2023/2024,4911.2,77.5%,
Transfers_Egyptians,Balance of Payments,Transfers of Egyptians working abroad,Billion USD,Q2 2024/2025,4.9,Q2 2023/2024,4.9,0.0%,
FDI_Net,Balance of Payments,Net Direct Foreign Investment,Billion USD,Q2 2024/2025,3.3,Q2 2023/2024,3.2,3.1%,
FDI_GDP,Balance of Payments,Net Direct Investment to GDP,%,Q2 2024/2025,0.9,Q2 2023/2024,0.8,12.5%,
Portfolio_Net,Balance of Payments,Net Investment portfolio,Million USD,Q2 2024/2025,-150.8,Q2 2023/2024,-3419.9,,
TradeBalance_Monthly,Trade,Trade balance,Billion USD,May 2025,-3.5,May 2024,-2.9,-20.7%,
Exports_Petroleum,Trade,Petroleum exports,Million USD,May 2025,308,May 2024,285,8.1%,
Exports_NonPetroleum,Trade,Non-Petroleum exports,Million USD,May 2025,3633,May 2024,3492,4.0%,
Imports_Petroleum,Trade,Petroleum imports,Million USD,May 2025,1368,May 2024,1189,15.1%,
Imports_NonPetroleum,Trade,Non-Petroleum imports,Million USD,May 2025,4927,May 2024,5837,-15.6%,
Exports_SemiManufactured,Trade,Semi Manufactured Commodity exports,Million USD,May 2025,938.8,May 2024,1048.9,-10.5%,
Exports_Finished,Trade,Finished Manufactured Commodity exports,Million USD,May 2025,2361.8,May 2024,2158.0,9.5%,
Exports_Food,Trade,Food Products exports,Million USD,May 2025,931.3,May 2024,735.3,26.7%,
Exports_Cement,Trade,Cement exports,Million USD,May 2025,84.2,May 2024,103.0,-18.3%,
Exports_Pharmaceuticals,Trade,Pharmaceuticals exports,Million USD,May 2025,35.8,May 2024,25.1,42.6%,
Exports_Textiles,Trade,Textiles exports,Million USD,May 2025,109.9,May 2024,97.5,12.7%,
Exports_Garments,Trade,Garments exports,Million USD,May 2025,336.9,May 2024,251.5,34.0%,
Exports_Glass,Trade,Glass exports,Million USD,May 2025,45.2,May 2024,40.6,11.3%,
Exports_IronSteel,Trade,Iron & Steel exports,Million USD,May 2025,257.4,May 2024,251.1,2.5%,
Imports_Food,Trade,Food Products imports,Million USD,May 2025,837.0,May 2024,1377.9,-39.3%,
Imports_Cement,Trade,Cement imports,Million USD,May 2025,0.3,May 2024,0.7,-57.1%,
Imports_Pharmaceuticals,Trade,Pharmaceuticals imports,Million USD,May 2025,199.2,May 2024,250.3,-20.4%,
Imports_Textiles,Trade,Textiles imports,Million USD,May 2025,306.3,May 2024,242.4,26.4%,
Imports_Garments,Trade,Garments imports,Million USD,May 2025,95.5,May 2024,75.4,26.7%,
Imports_Glass,Trade,Glass imports,Million USD,May 2025,11.9,May 2024,13.2,-9.8%,
Imports_IronSteel,Trade,Iron & Steel imports,Million USD,May 2025,468.9,May 2024,595.0,-21.2%,
ExportCoverage_Rate,Trade,Exports coverage rate to imports,%,May 2025,54.5,May 2024,50.0,9.0%,
M2_Liquidity,Monetary,Local Liquidity (M2),Billion EGP,February 2025,12218.4,February 2024,9124.9,33.9%,
M1_Supply,Monetary,Money Supply (M1),Billion EGP,February 2025,3054.7,February 2024,2529.0,20.8%,
SemiMoney,Monetary,Semi money,Billion EGP,February 2025,9163.7,February 2024,6595.9,38.9%,
Deposits_Total,Monetary,Total deposits,Billion EGP,February 2025,14151.4,February 2024,10617.3,33.3%,
Deposits_Government,Monetary,Governmental deposits,Billion EGP,February 2025,2977.2,February 2024,2527.5,17.8%,
Deposits_NonGovernment,Monetary,Non-governmental deposits,Billion EGP,February 2025,11174.2,February 2024,8089.8,38.1%,
Interest_Overnight,Monetary,CBE overnight lending rate,%,March 2025,28.25,March 2024,28.25,0.0%,
Interest_Treasury91,Monetary,Treasury bills 91-day rate,%,March 2025,27.75,March 2024,27.25,1.8%,
Interest_Loans,Monetary,Average interest on loans (year & less),%,March 2025,26.60,March 2024,23.30,14.2%,
Currency_USD,Monetary,US Dollar sale price,EGP,March 2025,50.53,March 2024,47.16,7.1%,
Currency_EUR,Monetary,Euro sale price,EGP,March 2025,54.49,March 2024,50.90,7.1%,
Currency_GBP,Monetary,Pound Sterling sale price,EGP,March 2025,65.35,March 2024,59.53,9.8%,
Reserves_Net,Monetary,Net International Reserves,Billion USD,March 2025,47.8,March 2024,40.4,18.3%,
Stock_EGX30,Capital Market,EG X 30 (L.E),Points,July 2025,34198.0,July 2024,29378.8,16.4%,
Stock_EGX30Capped,Capital Market,EG X 30 Capped,Points,July 2025,42021.3,July 2024,35932.5,16.9%,
Stock_EGX70,Capital Market,EG X 70 (EWI),Points,July 2025,10225.1,July 2024,6838.4,49.5%,
Stock_EGX100,Capital Market,EG X 100 (EWI),Points,July 2025,13807.5,July 2024,9762.1,41.4%,
Stock_TAMAYUZ,Capital Market,TAMAYUZ,Points,July 2025,15280.1,July 2024,7007.2,118.1%,
Stock_TradedValue,Capital Market,Traded securities value,Billion EGP,July 2025,91.2,July 2024,79.0,15.4%,
Population_Total,Population,Total population,Million,August 2025,108.0,August 2024,106.7,1.2%,
Population_Male,Population,Male population,Million,August 2025,55.5,August 2024,54.8,1.3%,
Population_Female,Population,Female population,Million,August 2025,52.5,August 2024,51.9,1.2%,
Births,Population,Number of births,Thousand,July 2025,190.7,July 2024,188.7,1.1%,
Deaths,Population,Number of deaths,Thousand,July 2025,51.7,July 2024,57.1,-9.5%,
LaborForce_Total,Labor,Total labor force,Million,Q2 2025,33.6,Q2 2024,31.4,7.0%,
LaborForce_Male,Labor,Male labor force,Million,Q2 2025,26.5,Q2 2024,25.8,2.7%,
LaborForce_Female,Labor,Female labor force,Million,Q2 2025,7.1,Q2 2024,5.6,26.8%,
Unemployment_Rate,Labor,General unemployment rate,%,Q2 2025,6.1,Q2 2024,6.5,-6.2%,
Unemployment_Male,Labor,Male unemployment rate,%,Q2 2025,3.8,Q2 2024,6.5,-41.5%,
Unemployment_Female,Labor,Female unemployment rate,%,Q2 2025,3.3,Q2 2024,6.1,-45.9%,
Marriage_Contracts,Social,Number of marriage contracts,Thousand,May 2025,82.3,May 2024,83.4,-1.3%,
Divorce_Certificates,Social,Number of divorce certificates,Thousand,May 2025,25.7,May 2024,24.3,5.8%,
