Document Section,Content Type,Content (English),Content (Arabic),Data Point,Unit,Value,Change Rate vs Jan 2024 (%),Change Rate vs Dec 2024 (%),Date,Page Reference
Price Data,Elsen,Elsen2,سن ٢,Price per m³,L.E,294.74,29.73,1.02,Jan 2025,Page 8

Price Data,Gypsum,No. (1) gypsum packed in sacks,نمرة ( ١ ) معابا في شكائر,Price per Ton,L.E,1940.67,16.02,0.11,Jan 2025,Page 8

Price Data,Wood,Beech wood from 100-170 cm,خشب زان من (100-170 سم),Price per m³,L.E,22266.67,34.44,3.18,Jan 2025,Page 8
Price Data,Wood,Sweden wood no (1),خشب سويدي نمرة ( ١ ),Price per m³,L.E,16942.54,27.12,0.94,Jan 2025,Page 8
Price Data,Wood,Blank wood no (1),خشب بياس نمرة ( ١ ),Price per m³,L.E,13151.65,39.73,1.44,Jan 2025,Page 8

Price Data,Glass,Flat engraved glass 3 mm white,زجاج مسطح منقوش ٣ مم ابيض,Price per flat meter,L.E,235.81,32.32,0,Jan 2025,Page 8
Price Data,Glass,Flat engraved glass 4 mm white,زجاج مسطح منقوش ٤ مم ابيض,Price per flat meter,L.E,273.75,44.46,0,Jan 2025,Page 8

Price Data,Tile Mosaic,Ordinary tiles 20*20*2 cm,عادي ٢×٢٠ سم × ٢٠ سم,Price per m²,L.E,78.66,12.54,0,Jan 2025,Page 9

Price Data,Cement Tiles,Cement Tiles 20*20*2 cm,بلاط اسمنتي ٢٠ سم × ٢٠ سم,Price per m²,L.E,58.88,21.34,0,Jan 2025,Page 9

Price Data,Ceramic,Floor ceramic first class 30*20 thickness 10 mm,ســيراميك أرضيــة درجة اوــلي ٣٠ × ٣٠ سم,Price per flat meter,L.E,138.93,29.28,0,Jan 2025,Page 9
Price Data,Ceramic,Floor ceramic first class 30*20 thickness 12 mm,ســيراميك حوائط درجة اوــلي ٣٠ × ٣٠ سم,Price per flat meter,L.E,136.61,34.68,0,Jan 2025,Page 9

Price Data,Marble,Slick foundry 3 cm,حاتمية ساقـلة ٣ سم,Price per flat meter,L.E,514.91,14.8,0,Jan 2025,Page 9

Price Data,Granite,Rose Granite 3 Cm,جرانيت روز ٣ سم,Price per flat meter,L.E,838.06,5.66,0,Jan 2025,Page 9

Price Data,Pipes Plastic Water,Diameter ½ inch,قطر ½ بوصة,Price per Meter,L.E,57.75,15.94,0,Jan 2025,Page 9
Price Data,Pipes Plastic Water,Diameter ¾ inch,قطر ¾ بوصة,Price per Meter,L.E,63.56,19.37,0,Jan 2025,Page 9

Price Data,Pipes Iron Water,Diameter ¾ inch galvanized thickness 2.65 mm,قطر ¾ بوصة مجلفن سمك ٢،٦٥ مم,Price per Meter,L.E,122.86,11.81,0,Jan 2025,Page 9
Price Data,Pipes Iron Water,Diameter 1 inch galvanized thickness 2.50 mm,قطر 1 بوصة مجلفن سمك ٢،٥ مم,Price per Meter,L.E,148.33,7.92,0,Jan 2025,Page 9

Contact Info,Agency Address,3 Salah Salem St. - Nasr City - Cairo - Egypt,٣ طريق صلاح سالم - مدينة نصر - القاهرة - جمهورية مصر العربية,N/A,N/A,N/A,N/A,N/A,N/A,Page 10
Contact Info,P.O. Box,2086 Nasr City - Cairo,٢٠٨٦ مدينة نصر - القاهرة,N/A,N/A,N/A,N/A,N/A,N/A,Page 10
Contact Info,Telephone,(+20) 24023031,٢٤٠٢٣٠٣١,N/A,N/A,N/A,N/A,N/A,N/A,Page 10
Contact Info,Fax,(+20) 24024099,٢٤٠٢٤٠٩٩,N/A,N/A,N/A,N/A,N/A,N/A,Page 10
Contact Info,Email,pres_capmas@capmas.gov.eg,pres_capmas@capmas.gov.eg,N/A,N/A,N/A,N/A,N/A,N/A,Page 10
Contact Info,Website,http://www.capmas.gov.eg,http://www.capmas.gov.eg,N/A,N/A,N/A,N/A,N/A,N/A,Page 10
Contact Info,Document Number,2014/18879,٢٠١٤ / ١٨٨٧٩,N/A,N/A,N/A,N/A,N/A,N/A,Page 10

Historical Data,Reference,January 2024 Price for Round Iron,يناير ٢٠٢٤ سعر الحديد المبروم,Price per Ton,L.E,44032.49,N/A,N/A,Jan 2024,Page 8
Historical Data,Reference,December 2024 Price for Round Iron,ديسمبر ٢٠٢٤ سعر الحديد المبروم,Price per Ton,L.E,39351.72,N/A,N/A,Dec 2024,Page 8
Historical Data,Reference,January 2024 Price for Cement,يناير ٢٠٢٤ سعر الأسمنت البورتلاند,Price per 50kg,L.E,111.93,N/A,N/A,Jan 2024,Page 8
Historical Data,Reference,December 2024 Price for Cement,ديسمبر ٢٠٢٤ سعر الأسمنت البورتلاند,Price per 50kg,L.E,139.52,N/A,N/A,Dec 2024,Page 8
