Category,Subcategory,Product Name,Product Description,Unit,July,August,September,October,November,December,Notes
Finishes & Flooring,Marble Substitute,Wall marble substitute panel with protective layer (1.22x2.80m, 3mm thick),PVC panel with marble print,Board,741,741,741,,,Price includes VAT
Finishes & Flooring,Marble Substitute,Wall marble substitute panel without protective layer (1.22x2.80m, 3mm thick),PVC panel with marble print,Board,798,798,798,,,Price includes VAT
Finishes & Flooring,Chipboard Substitute,Wall cladding panel as chipboard substitute (1.22x2.80m),PVC panel as chipboard/foam board substitute,Board,1083,1083,1083,,,Price includes VAT
Finishes & Flooring,Stone Substitute,Interior stone substitute without paint (60x120cm, code 001),Polyurethane foam stone substitute,Board,541.5,541.5,581.4,,,Price includes VAT
Finishes & Flooring,Stone Substitute,Interior stone substitute without paint (110x60cm, code 003),Polyurethane foam stone substitute,Board,399,399,376.2,,,Price includes VAT
Finishes & Flooring,Stone Substitute,Exterior stone substitute (120x60cm, code 005),Polyurethane foam stone substitute,Board,712.5,712.5,741,,,Price includes VAT
Insulating Materials,Cement Compounds,Water, heat, and sound insulating nano-technology compound,Cement-based insulating compound,Kg,31,31,31,,,Price includes VAT without transportation
Insulating Materials,Paints,Two-component insulating paint using space research technology,Heat and sound insulating paint,Kg,91,91,91,,,Price includes VAT without transportation
Insulating Materials,Paints,Multi-purpose elastic waterproof paint,Elastic waterproof paint for harsh conditions,Kg,113,113,113,,,Price includes VAT
Insulating Materials,Paints,Multi-purpose elastic waterproof nano-technology paint,Elastic waterproof nano-technology paint,Kg,136,136,136,,,Price includes VAT
Insulating Materials,Paints,Multi-purpose natural powder (1x4) (sealer-putty-coating-paint),Multi-purpose natural powder for various applications,Kg,42.5,42.5,42.5,,,Price includes VAT without transportation
Insulating Materials,Paints,Micron metal binding material,Paint with micron metal binding material,Kg,34,34,34,,,Price includes VAT without transportation
Insulating Materials,Paints,Micron metal binding material with natural marble filler,Coating with micron metal binding material and marble filler,Kg,34,34,34,,,Price includes VAT without transportation
Solar Energy Systems,Solar Cells,Trina Solar 575W,Solar panel,Watt,6.8,6.8,6.85,,,Price varies with exchange rate
Solar Energy Systems,Solar Cells,Jinko 560W,Solar panel,Watt,7.1,7.1,6.85,,,Price varies with exchange rate
Solar Energy Systems,Solar Cells,Sun Tech 605W,Solar panel,Watt,6.85,6.85,6.75,,,Price varies with exchange rate
Solar Energy Systems,Solar Cells,GA 605W,Solar panel,Watt,6.85,6.85,6.75,,,Price varies with exchange rate
Solar Energy Systems,Controllers,PWM 12V/24V AUTO 20A,Solar charge controller,Unit,236,236,236,,,Price varies with exchange rate
Solar Energy Systems,Controllers,PWM 12V/24V AUTO 30A,Solar charge controller,Unit,280,280,280,,,Price varies with exchange rate
Solar Energy Systems,Controllers,PWM 12V/24V AUTO 50A,Solar charge controller,Unit,858,858,858,,,Price varies with exchange rate
Solar Energy Systems,Controllers,PWM 12V/24V/48V AUTO 60A,Solar charge controller,Unit,1911,1911,1911,,,Price varies with exchange rate
Solar Energy Systems,Controllers,MPPT 12V/24V AUTO 40A,Solar charge controller,Unit,4160,4160,4160,,,Price varies with exchange rate
Solar Energy Systems,Controllers,MPPT 12V/24V/48V AUTO 60A,Solar charge controller,Unit,5200,5200,5200,,,Price varies with exchange rate
Solar Energy Systems,Batteries,New Max 100Ah,Deep cycle battery,Unit,11650,11650,11650,,,Price varies with exchange rate
Solar Energy Systems,Batteries,New Max 150Ah,Deep cycle battery,Unit,14250,14250,14250,,,Price varies with exchange rate
Solar Energy Systems,Batteries,New Max 200Ah,Deep cycle battery,Unit,17800,17800,17800,,,Price varies with exchange rate
Solar Energy Systems,Batteries,Gel 100Ah,Gel battery,Unit,10000,10000,10000,,,Price varies with exchange rate
Solar Energy Systems,Batteries,Gel 150Ah,Gel battery,Unit,13000,13000,13000,,,Price varies with exchange rate
Solar Energy Systems,Batteries,Gel 200Ah,Gel battery,Unit,15000,15000,15000,,,Price varies with exchange rate
Solar Energy Systems,Inverters,MUST (2KW/PWM 50A),Off-grid inverter,Unit,8630,8630,8630,,,Price varies with exchange rate
Solar Energy Systems,Inverters,MUST (3KW/PWM 60A),Off-grid inverter,Unit,10194,10194,10194,,,Price varies with exchange rate
Solar Energy Systems,Inverters,MUST (5.2KW/PWM 80A),Off-grid inverter,Unit,19394,19394,19394,,,Price varies with exchange rate
Solar Energy Systems,Inverters,MUST (2KW/MPPT 50A),Off-grid inverter,Unit,10182,10182,10182,,,Price varies with exchange rate
Solar Energy Systems,Inverters,MUST (3KW/MPPT 60A),Off-grid inverter,Unit,12082,12082,12082,,,Price varies with exchange rate
Solar Energy Systems,Inverters,VEICHI (3KW/MPPT 60A),Off-grid inverter,Unit,12650,12650,12650,,,Price varies with exchange rate
Solar Energy Systems,Inverters,VEICHI (5KW/100A PRO),Off-grid inverter,Unit,22900,22900,22900,,,Price varies with exchange rate
Solar Energy Systems,Inverters,VEICHI (10.2KW/MPPT 160A),Off-grid inverter,Unit,55000,55000,55000,,,Price varies with exchange rate
Solar Energy Systems,Protection Panels,Sun Tree 5HP capacity,Solar protection panel,Unit,4890,4890,4890,,,Price varies with exchange rate
Solar Energy Systems,Protection Panels,Sun Tree 10HP capacity,Solar protection panel,Unit,5500,5500,5500,,,Price varies with exchange rate
Solar Energy Systems,Protection Panels,Sun Tree 15HP capacity,Solar protection panel,Unit,6722,6722,6722,,,Price varies with exchange rate
Solar Energy Systems,Solar Cables,TOP Cable 4mm,Solar cable,Linear meter,48,48,48,,,Price varies with exchange rate
Solar Energy Systems,Solar Cables,TOP Cable 6mm,Solar cable,Linear meter,63,63,63,,,Price varies with exchange rate
Solar Energy Systems,Solar Cables,TOP Cable 10mm,Solar cable,Linear meter,166,166,166,,,Price varies with exchange rate
Solar Energy Systems,Solar Cables,Safel 4mm,Solar cable,Linear meter,48,48,48,,,Price varies with exchange rate
Solar Energy Systems,Solar Cables,Safel 6mm,Solar cable,Linear meter,63,63,63,,,Price varies with exchange rate
Solar Energy Systems,Solar Cables,Safel 10mm,Solar cable,Linear meter,166,166,166,,,Price varies with exchange rate
Solar Energy Systems,Solar Cables,Safel 16mm,Solar cable,Linear meter,234,234,234,,,Price varies with exchange rate
Solar Energy Systems,Solar Structures,Hot-dip galvanized fixed structure,Solar panel mounting structure,KW,1400,1400,1400,,,Price varies with exchange rate
Solar Energy Systems,Solar Structures,Cold galvanized fixed structure,Solar panel mounting structure,KW,1450,1450,1450,,,Price varies with exchange rate
Solar Water Heaters,200L Capacity,Apolon brand,200L solar water heater,Unit,76725,76725,76725,,,Price varies with exchange rate
Solar Water Heaters,200L Capacity,Delpaso brand,200L solar water heater,Unit,75000,75000,75000,,,Price varies with exchange rate
Solar Water Heaters,200L Capacity,Termica brand,200L solar water heater,Unit,55800,55800,55800,,,Price varies with exchange rate
Solar Water Heaters,200L Capacity,Eurostar brand,200L solar water heater,Unit,55800,55800,55800,,,Price varies with exchange rate
Solar Water Heaters,200L Capacity,Spanish Termicol brand,200L solar water heater,Unit,98000,98000,98000,,,Price varies with exchange rate
Solar Water Heaters,200L Capacity,Pyramids brand,200L solar water heater,Unit,66000,66000,66000,,,Price varies with exchange rate
Solar Water Heaters,300L Capacity,Solex brand,300L solar water heater,Unit,141360,141360,141360,,,Price varies with exchange rate
Solar Water Heaters,300L Capacity,Apolon brand,300L solar water heater,Unit,122760,122760,122760,,,Price varies with exchange rate
Solar Water Heaters,300L Capacity,Ariston brand,300L solar water heater,Unit,95906.3,95906.3,95906.3,,,Price varies with exchange rate
Solar Water Heaters,300L Capacity,Spanish Termicol brand,300L solar water heater,Unit,155000,155000,155000,,,Price varies with exchange rate
Solar Water Heaters,300L Capacity,Pyramids brand,300L solar water heater,Unit,80000,80000,80000,,,Price varies with exchange rate
Special Use Materials,Radiation Shielding,Gamma 600 radiation shielding plaster for X-ray rooms,Radiation shielding plaster,Kg,65,65,79.8,,,Price includes VAT without transportation
Special Use Materials,Radiation Shielding,Gamma 660 radiation shielding panels for X-ray rooms,Radiation shielding panels,m²,2750,2750,2850,,,Price includes VAT without transportation
Finishing Materials,Glass Brick,White glass brick,Glass brick for natural light transmission,Brick,135,135,140.5,,,Price includes VAT without transportation
Finishing Materials,Glass Brick,Colored glass brick,Glass brick for natural light transmission,Brick,200,200,211,,,Price includes VAT without transportation
Finishing Materials,Glass Substitute,German crystal panel 2.5mm (5.8x2.10m panel),Polycarbonate panel as glass substitute,Panel,5150,5150,5150,,,Price includes VAT without transportation
Finishing Materials,Glass Substitute,Colored crystal panel 2mm (5.80x2.10m panel),Polycarbonate panel as glass substitute,Panel,3100,3100,3100,,,Price includes VAT without transportation
Finishing Materials,Glass Substitute,German hollow panel 6mm (5.8x2.1m panel),Polycarbonate panel as glass substitute,Panel,2550,2550,2550,,,Price includes VAT without transportation
Finishing Materials,Glass Substitute,Hollow panel 5.5mm (5.8x2.1m panel),Polycarbonate panel as glass substitute,Panel,1525,1525,1525,,,Price includes VAT without transportation
Finishing Materials,Glass Substitute,Hollow panel 4.5mm (5.8x2.1m panel),Polycarbonate panel as glass substitute,Panel,1350,1350,1350,,,Price includes VAT without transportation
Energy Efficient Lighting,Indoor Lighting,Spot lamp 60W 2700 lumen,Indoor spot lamp,Unit,44,44,44,,,Price includes VAT
Energy Efficient Lighting,Indoor Lighting,Spot lamp 60W 3600 lumen,Indoor spot lamp,Unit,49,49,49,,,Price includes VAT
Energy Efficient Lighting,Indoor Lighting,Tube lamp 20W 2500 lumen,Indoor tube lamp,Unit,108,108,108,,,Price includes VAT
Energy Efficient Lighting,Indoor Lighting,Panel lamp 48W 5664 lumen,Indoor panel lamp,Unit,855,855,855,,,Price includes VAT
Energy Efficient Lighting,Indoor Lighting,Panel lamp 48W 4800 lumen,Indoor panel lamp,Unit,741,741,741,,,Price includes VAT
Energy Efficient Lighting,Indoor Lighting,Panel lamp 42W 5040 lumen,Indoor panel lamp,Unit,1083,1083,1083,,,Price includes VAT
Energy Efficient Lighting,Indoor Lighting,Panel lamp 48W 5760 lumen,Indoor panel lamp,Unit,1425,1425,1425,,,Price includes VAT
Energy Efficient Lighting,Facade Lighting,Facade light 100W 13000 lumen,Facade lighting,Unit,1311,1311,1311,,,Price includes VAT
Energy Efficient Lighting,Facade Lighting,Facade light 150W 19500 lumen,Facade lighting,Unit,1995,1995,1995,,,Price includes VAT
Energy Efficient Lighting,Facade Lighting,Facade light 200W 19500 lumen,Facade lighting,Unit,2337,2337,2337,,,Price includes VAT
Energy Efficient Lighting,Facade Lighting,Facade light 300W 39000 lumen,Facade lighting,Unit,5415,5415,5415,,,Price includes VAT
Energy Efficient Lighting,Road Lighting,Road light 100W 13000 lumen,Road lighting,Unit,1995,1995,1995,,,Price includes VAT
Energy Efficient Lighting,Road Lighting,Road light 150W 19500 lumen,Road lighting,Unit,250.8,250.8,250.8,,,Price includes VAT
Energy Efficient Lighting,Road Lighting,Road light 200W 26000 lumen,Road lighting,Unit,3363,3363,3363,,,Price includes VAT
Energy Efficient Lighting,Solar Road Lighting,Solar Pure Precisou Street Light,Solar street light,Unit,9000,9000,9000,,,Price includes VAT
Energy Efficient Lighting,Solar Road Lighting,Solar Grain Street Light,Solar street light,Unit,5300,5300,5300,,,Price includes VAT
Energy Efficient Lighting,Solar Road Lighting,Solar LED Street Light 50W,Solar street light,Unit,9000,9000,9000,,,Price includes VAT
Energy Efficient Lighting,Solar Road Lighting,Solar LED Street Light 36W,Solar street light,Unit,4000,4000,4000,,,Price includes VAT
Energy Efficient Lighting,Solar Road Lighting,Led Flat Light (All In One),Solar street light,Unit,7500,7500,7500,,,Price includes VAT
Energy Efficient Lighting,Solar Road Lighting,Integrated Light (All In One),Solar street light,Unit,2650,2650,2650,,,Price includes VAT
Energy Efficient Lighting,Solar Road Lighting,LED Street Light (All In One),Solar street light,Unit,2500,2500,2500,,,Price includes VAT
Energy Efficient Lighting,Solar Road Lighting,LED Flood Light 300W,Solar flood light,Unit,6500,6500,6500,,,Price includes VAT
Energy Efficient Lighting,Solar Road Lighting,LED Flood Light 150W,Solar flood light,Unit,4000,4000,4000,,,Price includes VAT
Energy Efficient Lighting,Solar Road Lighting,LED Flood Light 100W,Solar flood light,Unit,3250,3250,3250,,,Price includes VAT
Energy Efficient Lighting,Solar Road Lighting,LED Flood Light 50W,Solar flood light,Unit,2400,2400,2400,,,Price includes VAT
Energy Efficient Lighting,Solar Road Lighting,LED Flood Light 30W,Solar flood light,Unit,3500,3500,3500,,,Price includes VAT
Energy Efficient Lighting,Solar Road Lighting,LED Flood Light 20W,Solar flood light,Unit,3000,3000,3000,,,Price includes VAT
