topic,content,source_document,page_number
2. Cement Prices - December 2025,"Major Brands:- Lafarge Cement: 3,900 EGP/ton
- Suez Cement: 3,800 - 4,000 EGP/ton
- Assiut Cement: 3,720 - 3,900 EGP/ton
- El Nasr Cement: 3,800 - 4,000 EGP/ton
- Sinai Cement: 3,700 - 3,900 EGP/ton",egypt-construction-costs-2025.md,1
7. Paint & Coating,Note:Prices include material and labor for 2-3 coats,egypt-construction-costs-2025.md,1
11. Electrical Materials & Installations,Electrical Installation Cost:150 - 300 EGP/m² (including materials and labor),egypt-construction-costs-2025.md,1
Construction Labor Daily Wages (2025),"Notes:- Private sector minimum wage: 7,000 EGP/month (March 2025)
- Rates vary by region and project complexity
- Overtime: 135% of regular hourly rate for daytime work
- Friday/Holiday work: Higher rates apply",egypt-construction-costs-2025.md,1
STAGE 1: CORE & SHELL (Red Brick Construction),"Total Cost Range:600,000 - 850,000 EGP (6,000 - 8,500 EGP/m²)",egypt-construction-costs-2025.md,1
Detailed Breakdown:,"Materials Summary for Core & Shell:- Cement: 15-20 tons → 60,000 - 84,000 EGP
- Steel rebar: 8-10 tons → 296,000 - 400,000 EGP
- Red bricks: 40,000 units → 140,000 - 180,000 EGP
- Concrete (ready-mix): ~110 m³ → 198,000 - 264,000 EGP
- Sand & aggregates: ~50 m³ → 10,000 - 17,500 EGP",egypt-construction-costs-2025.md,1
STAGE 2: SEMI-FINISHED (Plastered & Utilities Installed),"Additional Cost:250,000 - 300,000 EGPTotal Cost Range:850,000 - 1,150,000 EGP (8,500 - 11,500 EGP/m²)",egypt-construction-costs-2025.md,1
STAGE 3: ECONOMIC FINISHING,"Additional Cost:300,000 - 350,000 EGPTotal Cost Range:1,150,000 - 1,500,000 EGP (11,500 - 15,000 EGP/m²)",egypt-construction-costs-2025.md,1
STAGE 4: STANDARD FINISHING,"Additional Cost:350,000 - 500,000 EGPTotal Cost Range:1,500,000 - 2,000,000 EGP (15,000 - 20,000 EGP/m²)
Upgrades over Economic Finishing:",egypt-construction-costs-2025.md,1
STAGE 5: LUXURY FINISHING,"Additional Cost:500,000 - 1,000,000 EGPTotal Cost Range:2,000,000 - 3,000,000 EGP (20,000 - 30,000 EGP/m²)
Premium Upgrades:",egypt-construction-costs-2025.md,1
STAGE 6: SUPER DELUXE FINISHING,"Additional Cost:1,000,000 - 2,000,000 EGPTotal Cost Range:3,000,000 - 5,000,000 EGP (30,000 - 50,000 EGP/m²)
Ultra-Premium Features:
Imported marble/granite flooring throughoutPremium hardwood for bedroomsDesigner gypsum ceiling with integrated lightingCustom-made Italian/German kitchenAll premium imported appliancesLuxury bathroom fittings (Grohe, Hansgrohe, etc.)Smart home automation systemCentral AC with concealed ductingPremium sound insulationDesigner lighting throughoutCustom furniture and built-insHigh-end security systemsPremium finishes and materials throughout",egypt-construction-costs-2025.md,1
Villa-Specific Items:,"Material Quantities for 300m² Villa (Core & Shell):
Cement: 35-45 tons → 140,000 - 189,000 EGPSteel rebar: 18-25 tons → 666,000 - 1,000,000 EGPRed bricks: 100,000-120,000 units → 350,000 - 540,000 EGPReady-mix concrete: 250-300 m³ → 450,000 - 720,000 EGPSand & aggregates: 120-150 m³ → 24,000 - 52,500 EGP",egypt-construction-costs-2025.md,1
PHASE 1: SITE PREPARATION (2-4 weeks),Land surveyingSoil testingSite clearanceTemporary facilitiesCost:2-3% of total project,egypt-construction-costs-2025.md,1
PHASE 2: FOUNDATION WORK (3-6 weeks),ExcavationFoundation concreteWaterproofingBackfillingCost:12-15% of structural cost,egypt-construction-costs-2025.md,1
PHASE 3: STRUCTURAL FRAME (8-16 weeks),ColumnsBeamsSlabsStaircaseCost:40-50% of core & shell,egypt-construction-costs-2025.md,1
PHASE 4: MASONRY & ENVELOPE (6-10 weeks),Wall constructionExternal facadeRoof workWaterproofingCost:20-25% of core & shell,egypt-construction-costs-2025.md,1
PHASE 5: MEP ROUGH-IN (4-8 weeks),Electrical conduitsPlumbing pipesHVAC ductsCost:15-20% of semi-finished,egypt-construction-costs-2025.md,1
PHASE 6: FINISHING WORK (8-16 weeks),PlasteringFlooringPaintingFixtures installationCost:Varies by finish level,egypt-construction-costs-2025.md,1
PHASE 7: FINAL TOUCHES (2-4 weeks),"CleaningTestingCertificationHandoverCost:2-3% of total
Total Timeline:- Small apartment (100m²): 6-10 months
- Medium villa (300m²): 10-16 months
- Large commercial: 12-24 months",egypt-construction-costs-2025.md,1
Price Multipliers by Governorate/City,"Transportation Costs:- Add 5-15% for remote locations
- Coastal areas: +10-20% for material transport
- Desert areas: +15-25% for infrastructure",egypt-construction-costs-2025.md,1
1. Material Selection,Use local materials when possibleBuy in bulk for larger projectsTime purchases during low-demand seasonsNegotiate with multiple suppliers,egypt-construction-costs-2025.md,1
2. Design Efficiency,Optimize structural designReduce complex shapesStandard room dimensionsMinimize waste,egypt-construction-costs-2025.md,1
3. Construction Management,Avoid peak construction season (summer)Monitor material price trendsLock prices for bulk orders,egypt-construction-costs-2025.md,1
Price Volatility Factors:,"Currency Exchange Rates: EGP fluctuations affect imported materialsInflation: Running at 20-30% annually (2024-2025)Energy Costs: Impact on cement and steel productionGovernment Policies: Tariffs, taxes, subsidiesSupply Chain: Global commodity prices (especially steel)",egypt-construction-costs-2025.md,1
What's NOT Included:,Land costProperty registration feesLegal feesArchitectural design fees (typically 3-7% of construction)Structural engineering fees (typically 2-5%)MEP engineering fees (typically 2-4%)Project management fees (typically 5-10%)Permits and licensesUtility connections feesProperty taxes during constructionFinancing costs/interest,egypt-construction-costs-2025.md,1
Price Verification:,"Always verify current prices with:- Local suppliers (call for quotes)
- Multiple contractors (get 3-5 estimates)
- Recent similar projects in your area
- Professional quantity surveyors
- Local building materials associations",egypt-construction-costs-2025.md,1
Budget Contingency:,"Recommended reserves:- Core & shell: +10-15% contingency
- Finishing work: +15-20% contingency
- First-time builders: +20-25% contingency
- Premium/custom work: +25-30% contingency",egypt-construction-costs-2025.md,1
Conclusion,"This guide provides comprehensive cost estimates based on December 2025 market conditions in Egypt. Actual costs will vary based on:
Specific locationDesign complexityMaterial choicesContractor ratesProject timelineMarket conditions at time of construction
Recommended Action Steps:
Define Your Requirements: Clearly specify what you needGet Professional Designs: Hire qualified architects/engineersObtain Multiple Quotes: Compare at least 3-5 contractorsVerify Material Prices: Check current market ratesBudget Appropriately: Include all costs + contingencyPlan for Delays: Factor in time and cost buffersMonitor Progress: Regular site visits and inspectionsDocument Everything: Keep records of all transactions
For Most Accurate Pricing:- Consult with local contractors in your specific area
- Get itemized quotes
- Verify contractor credentials and past work
- Include payment schedules in contracts
- Ensure proper insurance coverage
Document Version:1.0Last Updated:December 13, 2025Next Review:March 2026
This document is for informational purposes only. Always consult with licensed professionals for your specific project.",egypt-construction-costs-2025.md,1
Definition (Retail):,"Retail price is the commodity selling price by the retailers or related to them to the final consumer. These prices include all duties and taxes in addition to sales tax.
تعريف سعر المستهلك (التجزئة):
يقصد بسعر التجزئة سعر بيع السلعة بواسطة تجار التجزئة أو من في حكمهم إلى المستهلك النهائي وتكون تلك الأسعار شاملة كافة الرسوم والضرائب بما في ذلك ضريبة المبيعات.",data1.md,1
Geographic range for price collection:,"Prices are collected from all the Republic governorates by the specialized delegates in CAPMAS offices in the Governorates Main Cities.
النطاق الجغرافي لجمع الأسعار:
تجمع الأسعار من جميع محافظات الجمهورية بواسطة المنـدوبين المتخصصين بمكاتب الجهاز الإحصائيـة بعواصم المحافظات.",data1.md,1
Commodity Framework:,"The main represented commodities for building materials (Iron – Cement – Wood – bricks -... etc.).
الإطار السلعي:
أهم السلع الممثلة لمواد البناء (الحديد – الاسمنت – الأخشاب – الطوب – .. الخ).",data1.md,1
Bulletin collection sources:,"Three sources are selected upon the Governorates Main Cities levels.
مصادر جمع البيان:
يتم إختيار ثلاثة مصادر على مستوى عواصم المحافظات.",data1.md,1
Price collection Timing:,"Prices are collected from 15 to 17 of each month.
توقيت جمع الأسعار:
تجمع الأسعار في الفترة من ١٥ حتى ١٧ من كل شهر.",data1.md,1
Periodicity:,"Publishing every month, includes the current month, the previous month to the current month, and previous month compared to the current month of previous year, Monthly and annual rates of change for these months.
الدورية:
يتم النشر كل شهر وتتضمن النشرة الشهر الحالي والشهر السابق للشهر الحالي والشهر المقبل للشهر الحالي من السنة السابقة ونسب التغير الشهرية والسنوية لهذه الشهور.",data1.md,1
Data availability methods:,"Hard copy – C.D – Website
طرق إتاحة البيانات:
الموقع الإلكتروني – CD – ورقي",data1.md,1
Used Symbols,"Negative Numbers ( )
الرموز المستخدمة:
الأرقام سالبة ( )",data1.md,1
أهـم المؤشـرات العامة,"1- Average sale price of round Iron (10 , 13 , 16 mm) per ton 39.35 Thousand L.E in January 2025 unchanged from December 2024, while Average sale price was 44.03 Thousand L.E in January 2024, with decrease of 10.6%.
1- بلغ متوسط سعر بيع حديد التسليج المبروم (10 , 13 , 16 مم) للطن ٣٩,٣٥ ألف جنيه في يناير ٢٠٢٥ بدون تغير عن شهر ديسمبر ٢٠٢٤ بينما كان متوسط سعر البيع ٤٤,٠٣ ألف جنيه في يناير ٢٠٢٤ بنسبة انخفاض قدرها ١٠,٦٪.
imgAverage selling price per consumer in Thousand L.E for Round rebar 10,13,16 mm from January 2024 to January 2025./img
2- Average sale price of ordinary Portland cement packed in (50 kg) 140.21 L.E in January 2025 compared to 139.52 L.E in December 2024, with an increase of 0.5%, while Average sale price 111.93 L.E in January 2024, an increase of 25.3%.
2- بلغ متوسط سعر بيع الأسمنت البورتلاند العادي المعباً في شيكـارة (٥٠ كجم ) ١٤٠,٢١ جنيه في يناير ٢٠٢٥ مقابل ١٣٩,٥٢ جنيه في شهر ديسمبر ٢٠٢٤ بنسبة زيادة قدرها ٥٪ بينما كان متوسط سعر البيع ١١١,٩٣ جنيه في شهر يناير ٢٠٢٤ بنسبة زيادة قدرها ٢٥,٣٪.
imgAverage selling price per consumer in L.E for Ordinary portland cement packed in a sack from January 2024 to January 2025./img
page_number- ٢ -/page_number
3- Average sale price of Blank wood no (1) per cubic meter was 13.15 Thousan L.E in January 2025 compared to 12.96 Thousand L.E in December 2024, with an Increase of 1.4%, while Average sale price was 9.41 Thousand L.E In January 2024,an increase of 39.7%.
3 - بلغ متوسط سعر بيع خشب بياض نمرة (١) للمتر المكعب ١٣,١٥ ألف جنيه في شهر يناير ٢٠٢٥ مقابل ١٢,٩٦ ألف جنيه في شهر ديسمبر ٢٠٢٤ بنسبة زيادة قدرها %١,٤ بينما كان متوسط سعر البيع ٩,٤١ الف جنيه في شهر يناير ٢٠٢٤ بنسبة زيادة قدرها %٣٩,٧
imgAverage selling price per consumer in Thousand L.E for Blank wood no (1)/img
4- Average sale price of flat engraved white glass ( 3 mm ) per flat meter 235.81 LE in January 2025 unchanged from December 2024, while Average sale price was 178.22 L.E in January 2024, with an increase of 32.3%.
4 - بلغ متوسط سعر بيع زجاج مسطح منقوش (٣مم) ابيض للمتر المسطح ٢٣٥,٨١ جنيه في شهر يناير ٢٠٢٥ بدون تغير عن شهر ديسمبر ٢٠٢٤ بينما كان متوسط سعر البيع ١٧٨,٢٢ جنيه في شهر يناير ٢٠٢٤ بنسبة زيادة قدرها %٣٢,٣
imgAverage selling price per consumer in L.E for Flat engraved white glass 3 mm/img
Average retail prices of the most important building materials
and monthly & annual change rates of
Republic Urban
January 2025
(Prices in L.E)
متوسط أسعار التجزئة لأهم مواد البناء
ونسب التغير الشهرية والسنوية
حضر الجمهورية
٢٠٢٥ يناير
(الأسعار بالجنيه )
Average retail prices of the most important building materials
and monthly & annual change rates of
Republic Urban
January 2025
(Prices in L.E)
متوسط أسعار التجزئة لأهم مواد البناء
ونسب التغير الشهرية والسنوية
حضر الجمهورية
٢٠٢٥ يناير
( الأسعار بالجنيه )",data1.md,1
REFPRANCES,"[1] Kwatra, S., Kumar, A., & Sharma, P. (2020). A critical review of studies related to construction and computation of Sustainable Development Indices. Ecological Indicators, 112, 106061.
[2] WCED, S. W. S. (1987). World commission on environment and development. Our common future, 17(1), 1-91.
[3] Sev, A. (2009). How can the construction industry contribute to sustainable development? A conceptual framework. Sustainable Development, 17(3), 161-173.
[4] Smirnova, E., & Larionov, A. (2020). Justification of environmental safety criteria in the context of sustainable development of the construction sector. In E3S Web of Conferences (Vol. 157, p. 06011). EDP Sciences..
[5] Dean, B., Dulac, J., Petrichenko, K., & Graham, P. (2016). Towards zero-emission efficient and resilient buildings.: Global status report.
[6] https://gocontractor.com/blog/how- does- construction- impact- the- environment. retrieved 24- 8-2020
[7] Pan, W., & Sidwell, R. (2011). Demystifying the cost barriers to offsite construction in the UK. Construction Management and Economics, 29(11), 1081-1099.
[8] Cameron, P. J., & Di Carlo, N. G. (2007). Piecing together modular: understanding the benefits and limitations of modular construction methods for multifamily development (Doctoral dissertation, Massachusetts Institute of Technology).
[9] Lu, N., & Liska, R. W. (2008). Designers' and general contractors' perceptions of offsite construction techniques in the United State construction industry. International journal of construction education and research, 4(3), 177-188.
[10] Lu, N. (2007). Investigation of Designers' and General Contractors' Perceptions of Offsite Construction Techniques in the United States Construction Industry.
[11] Goodier, C., & Gibb, A. (2007). Future opportunities for offsite in the UK. Construction Management and Economics, 25(6), 585-595.
[12] Gibb, A. G. F., & Pendlebury, M. C. (2006). Build offsite glossary of terms. Construction Industry Research & Information Association (CIRIA), London.
[13] Bakar, A. H. A., & Cheen, K. S. (2013). A framework for assessing the sustainable urban development. Procedia- Social and Behavioral Sciences, 85, 484 492.
[14] Heravi, G., Fathi, M., & Faeghi, S. (2017). Multi- criteria group decision- making method for optimal selection of sustainable industrial building options focused on petrochemical projects. Journal of Cleaner Production, 142, 2999-3013.
[15] San- José, J. T., Losada, R., Cuadrado, J., & Garrucho, I. (2007). Approach to the quantification of the sustainable value in industrial buildings. Building and Environment, 42(11), 3916-3923.
SUSTAINABLE PREFORMANCE
CRITERIA FOR INDUSTRIAL BUILDINGS page_number(171)/page_number
Salem, Heiza, Kandeel
المجلة العربية للعلوم ونشر الأبحاث – مجلة العلوم الهندسية وتكنولوجيا المعلومات – العدد الثالث – سبتمبر 2021م
SUSTAINABLE PREFORMANCE
CRITERIA FOR INDUSTRIAL BUILDINGS page_number(172)/page_number Salem, Heiza, Kandeel",standards.md,1
The Egyptian Code for Building Information Modeling,"Draft Edition –G01
Issue Date: June 2018
Draft Edition –G01 page_numberi/page_number Issue Date: June 2018
The Egyptian Code for Building Information Modeling (BIM)
Draft Edition -G01 page_numberii/page_number Issue Date: 19-5-2018
The Egyptian Code for Building Information Modeling (BIM)
Draft Edition –G01
page_numberiii/page_number
Issue Date: 19-5-2018
The Egyptian Code for Building Information Modeling (BIM)
Draft Edition –G01
page_numberiv/page_number
Issue Date: 19-5-2018
The Egyptian Code for Building Information Modeling (BIM)
Draft Edition –G01
page_numberv/page_number
Issue Date: 19-5-2018
The Egyptian Code for Building Information Modeling (BIM)
page_numbervi/page_numberIssue Date: 19-5-2018
The Egyptian Code for Building Information Modeling (BIM)",egy-code.md,1
LIST OF ABBREVIATIONS,"page_numbervii/page_numberIssue Date: 19-5-2018
The Egyptian Code for Building Information Modeling (BIM)",egy-code.md,1
